unique,city_name,state,population,pop_density,gdp,unemployment_rate,college_graduate,household_income,climate,sports_team,landlocked,original_13_colony
C067,Durham,north_carolina,296000,2800,88,4.2,48,"79,000.00",1,2,0,0
C068,Pittsburgh,pennsylvania,302971,5400,160,4.9,42,"58,000.00",1,3,0,0
C069,Newark,new_jersey,307000,12000,230,6.2,18,"51,000.00",1,2,0,1
C070,North Las Vegas,nevada,280000,2400,140,5.5,20,"72,000.00",3,2,0,0
C071,St. Paul,minnesota,311000,5900,260,3.8,45,"71,000.00",1,4,0,0
C072,Lincoln,nebraska,296000,31000,60,2.9,38,"70,000.00",1,2,1,0
C073,Plano,texas,289000,4000,150,3.5,55,"105,000.00",2,3,0,0
C074,Jersey City,new_jersey,305000,19000,230,4.9,50,"89,000.00",2,3,0,1
C075,Madison,wisconsin,273000,3600,140,3.2,52,"78,000.00",1,2,0,0
C076,Anchorage,alaska,288000,170,55,5.1,33,"92,000.00",5,1,0,0
C077,Chandler,arizona,283000,4300,150,3.7,45,"96,000.00",3,1,0,0
C078,Reno,nevada,273000,2600,110,4.4,38,"74,000.00",3,1,0,0
C079,Gilbert,arizona,280000,3900,150,3.5,50,"110,000.00",3,1,0,0
C080,Fort Wayne,indiana,268000,2500,65,4.6,28,"62,000.00",1,1,1,0
C081,Chula Vista,california,283000,5200,323,4.2,30,"92,000.00",2,2,0,0
C082,Lubbock,texas,265000,2100,55,4.9,25,"62,000.00",3,1,1,0
C083,Buffalo,new_york,276000,6400,110,5.3,32,"45,000.00",1,2,0,1
C084,Port St. Lucie,florida,240000,2800,60,3.9,28,"70,000.00",4,0,0,0
C085,St. Lous,missouri,293000,4700,160,5.6,35,"5,200.00",1,3,0,0
C086,St. Petersburg,florida,260000,4400,80,3.9,36,"70,000.00",4,2,0,0
C087,Toledo,ohio,266000,3600,75,5.2,28,"46,000.00",1,1,1,0
C088,Laredo,texas,259000,2600,50,5.4,18,"56,000.00",3,1,0,0
C089,Glendale,arizona,252000,4000,120,4.1,30,"70,000.00",3,2,0,0
C090,Chesapeake,virginia,255000,730,75,3.7,35,"88,000.00",4,1,0,1
C091,Winston-Salem,north_carolina,"255,769",1863,62,4.6,22,"32,865.00",5,0,0,1
C092,Enterprise,nevada,"232,043",3361,,6.1,,"50,000.00",3,0,1,0
